"","Year","Anomaly"
"2","1999","0.41"
"3","2000","0.41"
"4","2001","0.55"
"5","2002","0.62"
"6","2003","0.63"
"7","2004","0.56"
"8","2005","0.70"
"9","2006","0.66"
"10","2007","0.65"
"11","2008","0.54"
"12","2009","0.67"
"13","2010","0.74"
"14","2011","0.61"
"15","2012","0.65"
"16","2013","0.68"
"17","2014","0.75"
"18","2015","0.91"
"19","2016","1.03"
"20","2017","0.94"
"21","2018","0.87"
"22","2019","0.98"
"23","2020","1.01"
"24","2021","0.86"
"25","2022","0.90"
"26","2023","1.19"
