North America January - December Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Anomaly
1999,1.11
2000,0.79
2001,1.22
2002,0.75
2003,0.99
2004,0.50
2005,1.30
2006,1.56
2007,0.89
2008,0.34
2009,0.45
2010,1.72
2011,0.96
2012,1.59
2013,0.58
2014,0.75
2015,1.31
2016,2.03
2017,1.55
2018,0.91
2019,1.09
2020,1.20
2021,1.61
2022,1.02
2023,2.08
