"","State","Total","    18 - 24","    25 - 39","    40 - 54","    55 - 64","    65 and above","    Male","    Female","    Hispanic or Latino (may be of any race)","    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Less than high school","    High school or GED","    Some college/associate’s degree","    Bachelor’s degree or higher","    Married","    Widowed","    Divorced/separated","    Never married","    Did not report...22","    1 person in the household","    2 people in the household","    3 people in the household","    4 people in the household","    5 people in the household","    6 people in the household","    7 or more people in the household","    Children in household","    No children","    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above","    Did not report...40"
"29","Nevada",12.445008,NA,14.56615,13.536599,16.663185,5.024343,10.975844,13.902864,19.798697,6.321722,23.458171,18.483301,18.442536,16.175535,11.821641,5.777456,10.012618,NA,15.52325,18.308387,NA,10.583679,8.726131,17.066482,5.630576,NA,13.924254,32.300497,13.642075,11.62496,24.979911,23.742603,17.644347,NA,5.047747,NA,NA,NA,8.408945
"30","New Hampshire",8.4439183,34.8657688,11.256034,5.4208087,5.3672278,3.4723363,7.1658931,9.7022424,NA,8.4157297,NA,NA,52.0242325,NA,8.0803073,3.1351822,3.2084379,NA,9.438189,22.7655855,NA,9.1185885,4.4339981,9.419201,NA,NA,NA,NA,4.4662255,10.3598517,18.77724,NA,NA,NA,4.407839,0.8840461,NA,NA,4.3719299
"31","New Jersey",6.1755688,NA,6.6005079,9.613703,8.0551651,0.8757636,6.2617219,6.0945504,12.2010071,3.8542554,10.2108986,1.0381597,NA,10.4372035,8.0770534,1.8210213,5.0148669,2.821512,5.1008472,10.3802946,NA,4.5725893,4.1617662,5.9773173,4.0562241,NA,NA,25.7060378,8.3600406,4.9069656,18.9823736,14.8621818,22.0593178,7.0833212,NA,0.8051171,NA,NA,5.0855475
"32","New Mexico",13.259836,NA,12.668652,12.867216,13.920971,11.426034,13.761032,12.780828,16.068017,7.407367,NA,NA,26.929563,16.182865,14.178429,2.480484,9.587345,18.111119,16.627792,15.566975,NA,11.498301,10.90567,NA,NA,36.192983,13.160034,NA,15.388754,12.01119,32.864922,21.14907,NA,NA,NA,NA,NA,NA,3.669779
"33","New York",9.512771,NA,8.613449,12.667845,13.981389,4.127212,8.751382,10.216975,19.580524,6.153519,16.337074,4.176381,19.311914,11.347439,12.669763,3.604329,8.183101,NA,14.26239,11.387147,NA,11.658431,7.244821,11.424635,10.130464,7.200507,NA,NA,10.298708,9.07812,21.678284,10.021795,17.296647,8.010337,NA,NA,NA,NA,9.764324
"34","North Carolina",9.848764,15.749265,NA,8.823858,12.382263,NA,11.83201,8.030943,26.157378,5.494144,17.182382,1.94156,48.553733,8.526883,10.478611,3.035637,7.309153,NA,9.906772,17.731307,NA,10.16364,7.924953,10.236181,11.022765,NA,NA,9.942022,10.087962,9.69648,44.624444,14.19989,19.200322,9.709598,1.509147,NA,NA,NA,NA
"35","North Dakota",9.278611,NA,9.592943,16.271762,5.423558,3.85213,11.061941,7.406803,NA,7.795728,NA,NA,59.835474,NA,8.229302,5.327622,7.841132,34.012896,8.738588,9.528678,NA,10.028463,3.42743,NA,12.373359,14.89315,NA,51.066627,15.813145,4.58281,30.424693,13.352555,21.850859,NA,1.459968,NA,NA,NA,11.332576
"36","Ohio",8.3886109,NA,14.9873812,11.3390752,6.7624763,0.4345228,5.7293301,10.9012964,12.4822074,8.0368155,10.1448603,NA,18.0013977,11.7174464,8.3494571,2.2071014,5.8317803,6.0087734,12.7279505,12.5284304,NA,9.9208799,5.5008316,11.4873361,5.4327225,6.6300167,NA,NA,10.3862614,7.1611453,24.5758939,21.1577875,NA,8.703238,NA,NA,NA,NA,6.5448032
"37","Oklahoma",9.934933,NA,11.262383,10.899901,6.892593,5.144761,7.807407,11.961913,21.780972,7.516984,25.342054,NA,NA,11.219835,11.73912,3.153667,5.439116,8.532819,11.109326,19.997581,NA,17.874306,9.677114,11.613748,8.106956,NA,NA,13.502505,6.876281,12.019333,35.880027,10.226832,7.882053,10.156469,NA,NA,NA,9.97509,4.839696
"38","Oregon",6.980957,NA,10.414869,7.187327,5.990065,3.12522,7.361214,6.612362,7.813292,6.560509,25.194918,3.810549,17.835441,12.868097,5.212913,2.142967,2.955911,6.431273,10.642604,12.897612,NA,11.89249,3.839441,13.885505,3.534816,NA,5.883674,NA,8.205711,6.365853,19.267626,25.445471,3.827475,3.214495,NA,NA,NA,NA,2.88282
"39","Pennsylvania",9.58212,NA,10.726742,13.916067,9.565083,6.056688,10.364021,8.84152,26.503669,7.940887,11.657908,NA,7.87027,13.455412,12.832129,2.536138,7.799611,6.547863,12.667238,12.136117,NA,5.7499,9.941174,5.10826,11.829804,NA,9.62304,31.556436,11.546154,8.559314,31.274104,20.608118,19.037779,7.256261,NA,4.099202,NA,NA,5.028134
"40","Rhode Island",6.289431,NA,6.695458,14.464831,NA,1.300109,NA,7.090306,13.7532,5.07777,NA,NA,NA,7.443169,8.722741,3.880178,5.182749,NA,7.250038,8.838949,NA,9.44205,1.224423,7.894723,9.988985,NA,NA,NA,9.566929,4.504995,27.092045,15.918059,10.60065,7.036193,NA,NA,NA,NA,2.828247
"41","South Carolina",6.575812,NA,10.804232,7.41461,5.584068,3.590347,2.712599,10.072689,4.872173,6.186494,7.041582,16.984101,NA,6.269187,8.81905,3.386999,3.171158,NA,9.377488,13.459616,NA,11.160772,5.460768,3.650172,4.903414,NA,NA,19.821088,8.207561,5.592081,24.074506,16.116782,7.309017,4.06417,NA,NA,NA,NA,3.067062
"42","South Dakota",6.435824,NA,5.822179,10.39918,6.025845,NA,4.08223,8.835646,NA,4.684919,NA,NA,28.138779,7.451643,5.697681,3.929067,NA,NA,22.744598,8.940481,NA,6.397316,7.486902,6.748036,5.074478,NA,NA,NA,8.148107,5.38915,29.34021,13.059737,NA,NA,NA,NA,NA,NA,NA
